Player,Pos,CompetedPasses,AttemptedPasses,PassCmpPercent,KeyPasses,Pass3rd,PassesPA,ProgPasses,xA,Tackles,TacklesWon,TacklesWonPercent,Pressures,SuccPressures,PressuresWonPercent,Tkl+Int,ErrorsLeadingToShots,ThroughBalls,PassesUnderPressure,Switches,Crosses,Touches,LiveTouches,SuccDribbles,AttDribbles,DribbleSuccessPercent,NoPlayersDribbled,Megs,Carries,CarriesTotalDist,CarriesPrgDist,ProgCarries,Carries3rd,CarriesPA
Allan\Allan,MF,39.4,46,85.8,0.7,3.99,0.66,3.6,0.04,3.29,2.37,29.8,29.5,8.38,28.4,4.3,0,0,6.49,0.61,0.13,56.2,54.8,1.23,1.89,65.1,1.27,0.04,35.5,217.1,128.7,4.21,1.4,0.09
Bissouma\Yves-Bissouma,MF,42.2,48.4,87.2,0.43,3.55,0.61,3.29,0.03,3.29,2.14,36.6,15.6,5.4,34.6,5.03,0,0.14,7.66,1.27,0.23,60.6,59.7,1.45,2.2,65.8,1.53,0.09,42.5,258.4,118.3,4.54,1.79,0.06
Mohamed Elneny\Mohamed-Elneny,MF,54.5,58.3,93.4,0.23,4.48,0.52,3.49,0.01,0.93,0.64,26.3,11.5,3.31,28.9,2.09,0.06,0.06,6.92,1.4,0.17,64.1,62.9,0.41,0.52,77.8,0.41,0.06,48.7,228.9,115.2,4.07,0.99,0
Fabinho\Fabinho,DFMF,65.5,71.9,91.1,0.11,3.86,0.56,3.58,0.01,2.53,1.79,44.6,12.3,4.04,32.8,4.25,0,0.11,6.6,1.3,0.07,81.9,80.3,0.18,0.32,55.6,0.21,0,52.9,262.6,147.9,5.47,0.91,0.07
Fernandinho\Fernandinho,MF,66.5,75.8,87.7,0.91,10.2,1.29,7.27,0.07,2.35,1.67,31.6,16.9,5.68,33.6,4.32,0,0.15,9.24,2.5,0.45,85.4,83.6,0.76,1.14,66.7,0.98,0,60.1,305.7,184.6,10.2,3.18,0.38
Fred\Fred,MF,58.5,66.3,88.2,0.9,6.54,0.68,5.6,0.09,3.31,2.07,34.5,24,7.52,31.3,5.08,0,0.23,9.1,2.14,0.26,78.6,76.8,0.9,1.2,75,1.09,0.04,52.1,247.1,119.1,4.36,1.5,0.08
André Gomes\Andre-Gomes,MF,43.1,51.8,83.2,0.86,4.71,0.75,4.6,0.06,2.76,1.95,32.8,21.2,6.84,32.2,3.62,0,0.11,6.03,2.41,0.98,62.2,61.4,1.49,2.36,63.4,1.61,0.06,45.7,224.9,107.7,5,1.44,0.17
Højbjerg\Pierre-Hojbjerg,MF,62.9,70.7,88.9,0.45,6.18,0.53,5.08,0.05,3.13,2.16,43.9,21.2,6.11,28.7,4.42,0,0.08,6.42,1.79,0.29,80.3,78,0.66,1,65.8,0.68,0.05,54.2,241.3,114.1,3.87,0.68,0.13
Jorginho\Jorginho,MF,69.9,78,89.5,1.08,6.28,0.9,5.16,0.09,2.65,1.7,30.1,20.9,7.4,35.3,4.93,0.04,0.09,8.83,1.39,0.04,88.1,86.8,0.81,1.12,72,0.9,0,59.7,241.6,129.6,4.57,1.26,0.09
Kanté\NGolo-Kante,MF,54.7,63.2,86.6,0.88,4.16,0.5,4.24,0.05,3.66,2.39,48.3,20.1,6.89,34.3,6.26,0,0.08,8.03,1.68,0.34,75.9,75.1,1.22,1.6,76.3,1.22,0.04,47.7,230.4,126,4.71,1.6,0.17
