Player,Pos,Squad,90s,CompletedPasses,AttemptedPasses,PassCompletion,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,DeadBallPasses
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,19.7,889,1127,78.9,14909,6947,1,0.8,+0.2,11,68,26,4,112,195
Tammy Abraham\Tammy-Abraham,FW,Chelsea,11.6,149,218,68.3,2057,327,1,0.9,+0.1,8,12,2,0,11,10
Che Adams\Che-Adams,FW,Southampton,29.6,443,633,70,7359,1633,5,5.8,-0.8,34,27,25,2,61,12
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,32.8,1594,1824,87.4,37337,11928,0,0.4,-0.4,5,68,5,1,73,49
Adrián\Adrian,GK,Liverpool,3,76,99,76.8,2031,1135,0,0,0,0,0,0,0,0,29
Sergio Agüero\Sergio-Aguero,FWMF,Manchester City,6.2,143,170,84.1,1867,285,1,1.3,-0.3,6,11,6,1,12,10
Ola Aina\Ola-Aina,DF,Fulham,29.6,1329,1711,77.7,25538,10322,1,1.4,-0.4,14,98,15,9,98,283
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,15.6,657,785,83.7,10835,3074,1,1,0,13,30,14,5,46,134
Semi Ajayi\Semi-Ajayi,DF,West Brom,30.9,705,948,74.4,15527,6592,0,0.3,-0.3,5,67,4,0,64,60
Nathan Aké\Nathan-Ake,DF,Manchester City,8.9,702,755,93,12873,3534,0,0,0,1,60,2,0,36,25
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,19.4,635,923,68.8,11394,4629,5,4.4,+0.6,39,51,42,16,87,99
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,20.6,1498,1674,89.5,31595,8231,0,2.3,-2.3,29,207,27,1,184,44
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,24.9,1143,1365,83.7,27127,7537,0,0.3,-0.3,7,76,6,1,52,60
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,0.2,7,11,63.6,126,51,0,0,0,0,0,0,0,0,3
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,33.7,2216,2941,75.3,47515,19500,7,8.1,-1.1,73,208,101,32,278,487
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,27.3,1305,1630,80.1,22206,8320,3,3.1,-0.1,27,82,32,13,114,254
Alisson\Alisson,GK,Liverpool,33,968,1137,85.1,25310,13346,0,0,0,0,7,0,0,1,236
Allan\Allan,MF,Everton,22.8,899,1048,85.8,16984,4349,0,0.9,-0.9,16,91,15,1,82,34
Dele Alli\Dele-Alli,MF,Tottenham,6.9,270,337,80.1,4654,1070,1,0.9,+0.1,8,17,9,1,27,21
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,27,711,877,81.1,12123,2700,1,2.8,-1.8,28,56,26,7,65,32
Marcos Alonso\Marcos-Alonso,DF,Chelsea,10.7,483,592,81.6,8125,2867,0,1.1,-1.1,12,19,8,2,49,86
Steven Alzate\Steven-Alzate,MFDF,Brighton,10,399,446,89.5,6928,1321,0,0.5,-0.5,10,33,6,0,35,15
Daniel Amartey\Daniel-Amartey,DF,Leicester City,8,400,466,85.8,7606,2362,0,0,0,0,19,1,0,25,33
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,23.2,857,1064,80.5,17276,5506,0,0.9,-0.9,10,69,16,2,84,85
Joachim Andersen\Joachim-Andersen,DF,Fulham,30.3,1529,1833,83.4,38236,11350,1,0.5,+0.5,9,121,9,1,99,68
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,0,1,1,100,10,0,0,0,0,0,0,0,0,0,0
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,0,4,6,66.7,61,28,0,0,0,0,0,0,0,2,0
Michail Antonio\Michail-Antonio,FW,West Ham,21.9,326,490,66.5,5008,924,5,2.3,+2.7,23,22,12,2,25,18
Alphonse Areola\Alphonse-Areola,GK,Fulham,36,737,1001,73.6,20163,12032,0,0,0,0,6,0,0,0,351
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,30.7,1002,1258,79.7,16614,4712,5,2.7,+2.3,34,90,40,5,116,77
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,6.5,198,243,81.5,5209,2622,0,0,0,0,3,0,0,1,51
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,25.9,518,691,75,7883,1507,3,2.8,+0.2,22,18,27,9,50,21
Serge Aurier\Serge-Aurier,DF,Tottenham,17.8,769,954,80.6,12616,5171,3,1.9,+1.1,12,29,20,6,61,163
Charlie Austin\Charlie-Austin,FW,West Brom,1.5,25,34,73.5,374,134,0,0,0,0,0,0,0,4,2
