Player,Nation,Pos,Squad,Age,Born,90s,Tackles,Tkls Won,Tkls vs Dribbles,Dribbled Past,  Successful Pressures,Def 3rd Press,Mid 3rd Press,Att 3rd Press,Blocks,Intreceptions,Tkl+Int,Clearances,Errors
Max Aarons\774cf58b,eng ENG,DF,Norwich City,21,2000,32,2.16,1.16,1.16,0.66,3.53,7.97,4.38,1.22,2.69,1.75,3.91,2.19,0
Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25,1996,22.7,0.7,0.4,0.09,0.57,3.83,1.67,5.81,7.14,1.1,0.44,1.15,0.66,0
Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20,2001,20.3,3.74,2.12,1.38,0.84,6.65,11.4,5.71,2.71,1.67,1.87,5.62,1.58,0.05
Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23,1998,22.2,1.8,0.99,0.9,0.72,3.29,4.82,3.15,1.31,1.62,2.21,4.01,3.65,0.05
Nathan Aké\eaeca114,nl NED,DF,Manchester City,26,1995,10.3,1.46,0.49,0.39,0.29,2.23,2.52,3.59,0.68,1.17,1.75,3.2,3.01,0
Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,31,1989,12.6,2.62,1.27,0.79,2.46,5,7.78,11.2,3.97,2.14,1.98,4.6,0.79,0
Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30,1991,17,3.41,2.35,0.71,1.65,6.88,5.06,9.59,4.12,1.53,2.06,5.47,1.06,0.12
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,22,1998,31.7,1.39,0.76,0.73,1.14,3.06,3.6,2.78,2.71,1.23,2.4,3.79,1.36,0.03
Alisson\7a2e46a8,br BRA,GK,Liverpool,28,1992,36,0,0,0,0.06,0.08,0.17,0,0,0.03,0,0,0.03,0.06
Allan\cc700722,br BRA,MF,Everton,30,1991,24.3,3.17,2.51,1.07,2.55,8.4,10.7,13.5,2.51,1.89,1.73,4.9,1.65,0
Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25,1996,7.3,2.6,0.96,0.68,1.64,7.53,11.1,12.6,4.93,3.42,2.33,4.93,1.64,0
Dele Alli\cea4ee8f,eng ENG,MF,Everton,25,1996,3.8,3.95,2.63,1.32,1.84,8.95,9.21,16.3,7.89,2.37,2.63,6.58,1.84,0
Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,27,1994,19.1,2.98,1.73,0.68,1.78,5.71,6.65,8.69,7.28,1.15,1.31,4.29,0.63,0
Marcos Alonso\f4290206,es ESP,DF,Chelsea,30,1990,24.1,1.87,1.16,0.58,0.75,3.53,5.02,4.19,3.24,1.62,2.74,4.61,2.28,0
Steven Alzate\ad1f61f3,co COL,MF,Brighton,22,1998,4.5,2,1.78,0.67,0.44,4.44,6.67,8.22,2.67,1.11,3.11,5.11,2.22,0
Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,26,1994,23.6,1.06,0.51,0.68,0.68,2.29,4.11,2.84,0.34,2.03,1.27,2.33,4.66,0.08
Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25,1996,32.4,1.11,0.71,0.43,0.43,1.79,2.93,1.7,0.22,1.27,1.85,2.96,4.81,0.06
Michail Antonio\ac05f970,jm JAM,FW,West Ham,31,1990,33,0.85,0.7,0.18,0.42,4.03,1.03,5.03,7.88,0.79,0.42,1.27,0.52,0
Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,19,2001,0.3,0,0,0,0,0,0,6.67,6.67,0,3.33,3.33,3.33,0
Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Armstrong\68c720b5,eng ENG,FW,Southampton,24,1997,15.7,0.64,0.45,0,0.38,4.08,1.34,5.67,8.22,0.64,0.57,1.21,0.38,0
Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29,1992,16.4,1.59,0.91,0.43,1.34,5.18,4.63,7.32,4.27,1.04,0.85,2.44,0.91,0
Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,26,1994,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Ashby\b391383a,sct SCO,DF,West Ham,19,2001,0.1,0,0,0,0,0,0,0,0,10,10,10,0,0
Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32,1989,11.5,1.04,0.61,0.17,0.35,4.61,2,6.78,8.7,1.65,0.09,1.13,0.26,0
Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,29,1991,22.4,2.32,1.52,0.49,0.49,6.52,5.4,10.1,7.46,1.65,1.25,3.57,0.4,0
Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,29,1991,25.2,3.13,1.79,1.94,2.06,5.44,8.53,5.44,1.59,1.94,2.14,5.28,2.7,0.04
César Azpilicueta\53cad200,es ESP,DF,Chelsea,31,1989,23,2.35,1.35,0.91,0.96,4.52,6.22,6.87,2.39,2.7,1.61,3.96,3.09,0.04
Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27,1994,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,23,1997,8.5,2.24,1.41,0.47,1.06,5.65,2.82,6.94,7.29,1.53,0.35,2.59,0.35,0
Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27,1994,2.4,3.33,1.25,0.42,0.42,3.75,5.83,2.5,0.42,2.08,3.33,6.67,4.17,0
Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20,2001,0.8,0,0,0,0,6.25,2.5,2.5,21.3,1.25,0,0,1.25,0
Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,27,1993,6.2,0.48,0.32,0.16,0.48,6.13,0.65,7.58,9.68,0.97,0.48,0.97,1.29,0
Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23,1998,10.1,0.69,0.4,0.3,0.99,6.73,6.14,9.31,4.75,1.49,2.08,2.77,1.09,0
Ross Barkley\3a24769f,eng ENG,MF,Chelsea,27,1993,2,0.5,0.5,0,0.5,1.5,0.5,5,3.5,0.5,1,1.5,0,0
Ashley Barnes\2691c772,eng ENG,FW,Burnley,31,1989,9,1.44,1.11,0.22,0.44,3.89,1.78,9.33,6.33,0.67,0.67,2.11,0.44,0
Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,23,1997,23.3,1.33,0.56,0.21,0.86,3.82,3.13,5.06,4.46,1.12,0.43,1.76,0.26,0
Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,18,2002,1.6,0.63,0,0,3.75,6.25,13.1,30,2.5,1.25,3.13,3.75,1.25,0
Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,22,1999,9.3,1.29,0.75,0.54,0.11,3.12,4.84,2.37,0.65,1.08,0.97,2.26,3.01,0
Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25,1996,29.2,1.27,0.72,0.62,0.65,2.6,4.45,3.49,0.21,2.19,3.25,4.52,5.79,0
Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24,1997,0.8,6.25,3.75,1.25,0,7.5,6.25,7.5,6.25,2.5,2.5,8.75,2.5,0
Donny van de Beek\50dc94ce,nl NED,MF,Everton,24,1997,5.4,2.78,1.67,1.11,1.67,4.81,5,9.63,3.89,1.3,1.67,4.44,0.93,0
Asmir Begović\7b4de647,ba BIH,GK,Everton,34,1987,3,0,0,0,0,0,0,0,0,0,0,0,0.67,0
Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,25,1995,24.1,1.45,0.95,0.66,0.91,3.9,4.48,7.76,3.4,0.91,0.5,1.95,0.29,0
Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24,1997,15.1,2.45,0.99,0.79,1.39,5.23,7.48,11.6,2.58,2.12,1.19,3.64,1.85,0
