Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles,Tkls Won,Tkls vs Dribbles,Dribbled Past,Successful Pressures,Def 3rd Press,Mid 3rd Press,Att 3rd Press,Blocks,Interceptions,Tkl+Int,Clearances,Errors
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-059,2000,24.6,2.32,1.34,1.38,0.77,3.33,7.64,3.9,1.1,2.89,1.63,3.94,2.15,0
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-234,1996,15.3,0.72,0.39,0.13,0.46,3.59,1.96,5.56,7.25,1.18,0.59,1.31,0.72,0
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-271,2001,13.3,4.29,2.26,1.58,0.98,6.99,12.9,6.24,2.78,1.88,1.95,6.24,1.73,0
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-321,1998,13.1,1.68,0.92,0.99,0.92,3.13,4.81,3.36,0.76,1.76,2.6,4.27,4.58,0.08
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,27-014,1995,7.5,1.2,0.53,0.4,0.27,1.6,2.67,2.8,0.4,1.33,2.27,3.47,3.07,0
6,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,32-106,1989,9.1,3.19,1.43,0.88,2.86,5.27,8.79,12.1,3.85,2.31,2.09,5.27,0.66,0
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-327,1991,9.9,3.64,2.63,0.61,1.62,6.97,4.55,8.79,3.64,1.41,1.82,5.45,1.01,0.1
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-148,1998,22.7,1.28,0.75,0.7,1.1,3.13,3,3.35,2.69,1.28,2.42,3.7,1.67,0.04
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-153,1992,24,0,0,0,0.04,0.08,0.17,0,0,0,0,0,0.04,0.04
10,Allan\cc700722,br BRA,MF,Everton,31-055,1991,19.6,3.01,2.55,0.82,2.65,8.16,10.2,12.8,2.6,1.84,1.73,4.74,1.43,0
11,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-327,1996,7.3,2.6,0.96,0.68,1.64,7.53,11.1,12.6,4.93,3.42,2.33,4.93,1.64,0
12,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-327,1996,1.3,3.08,2.31,0.77,1.54,9.23,10,14.6,11.5,3.85,0.77,3.85,3.85,0
13,Miguel Almirón\862a1c15,py PAR,MF,Newcastle Utd,28-022,1994,11,3.27,1.82,1,2.18,5.27,8.45,8.64,5.27,1.45,1.36,4.64,0.55,0
14,Marcos Alonso\f4290206,es ESP,DF,Chelsea,31-066,1990,16.1,2.11,1.3,0.81,0.81,3.6,5.96,4.29,3.04,1.86,3.11,5.22,2.61,0
15,Steven Alzate\ad1f61f3,co COL,MF,Brighton,23-177,1998,3.1,2.26,2.26,0.97,0.65,5.48,7.1,9.03,3.55,1.29,3.87,6.13,2.9,0
16,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,27-073,1994,13.7,0.95,0.36,0.66,0.73,2.48,4.38,2.85,0.22,2.12,1.46,2.41,4.89,0.07
17,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25-277,1996,21.4,1.12,0.65,0.47,0.42,1.36,2.9,1.5,0.23,1.26,2.2,3.32,5,0.09
18,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31-341,1990,25.4,0.83,0.63,0.2,0.35,3.98,0.94,5.04,7.6,0.87,0.39,1.22,0.55,0
19,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,20-226,2001,0.3,0,0,0,0,0,0,6.67,6.67,0,3.33,3.33,3.33,0
20,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,29-005,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,25-022,1997,13.3,0.68,0.45,0,0.3,4.06,1.58,5.41,7.89,0.53,0.6,1.28,0.38,0
22,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29-339,1992,7.7,1.43,0.91,0.26,1.04,6.1,4.68,7.92,3.64,0.91,1.43,2.86,1.04,0
23,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-152,1994,4,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Harrison Ashby\b391383a,sct SCO,DF,West Ham,20-110,2001,0.1,0,0,0,0,0,0,0,0,10,10,10,0,0
25,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32-259,1989,11.5,1.04,0.61,0.17,0.35,4.61,2,6.78,8.7,1.65,0.09,1.13,0.26,0
