,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
Rk,Player,Pos,Squad,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
1,Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,19.7,57.2,47.3,9.9,1.83,0.1,5.69,1.02,1.73,0.1,0,0.1,0,36.4,11.1,9.7,37.7,9.85,1.27,7.97,0.15,45.1,0.61,1.12,1.47,1.73
2,Tammy Abraham\Tammy-Abraham,FW,Chelsea,11.6,18.8,17.9,0.86,0.17,0,6.64,0.09,0.34,0,0,0,0,11.7,4.66,2.41,1.47,12.7,1.55,0,1.03,12.8,0,0.34,0.26,1.12
3,Che Adams\Che-Adams,FW,Southampton,29.6,21.4,21,0.41,0.03,0.27,5.95,0.47,0.44,0,0,0,0,13.4,4.22,3.72,1.32,16.9,1.22,0,0.81,15,0.2,0.3,0.95,1.11
4,Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,32.8,55.6,54.1,1.49,1.28,0.06,5.34,1.49,0.09,0,0,0,0,43,3.9,8.75,7.56,44,2.47,0.21,0.09,48.6,0.09,0.98,0.64,0.49
5,Adrián\Adrian,GK,Liverpool,3,33,23.3,9.67,2.33,0,3,0.33,0,0,0,0,0,19,3,11,4,22,0,0,6.67,25.3,0.33,0.67,0,0
6,Sergio Agüero\Sergio-Aguero,FWMF,Manchester City,6.2,27.4,25.8,1.61,0,0,4.68,0.16,0.32,0,0,0,0,23.2,2.9,1.29,2.26,24.2,0.32,0.16,0.32,23.1,0,0,0.65,1.29
7,Ola Aina\Ola-Aina,DF,Fulham,29.6,57.8,48.2,9.56,1.11,0,4.09,1.28,1.42,0,0,0,0,34,9.12,14.7,9.86,36.1,2.84,8.45,0.14,44.9,0.03,0.81,1.45,1.52
8,Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,15.6,50.3,41.7,8.59,0.45,0,5,0.77,1.92,0.45,0.06,0.19,0.19,33.1,10.5,6.73,36.5,4.29,1.28,7.69,0.13,42.1,0.06,0.32,0.64,2.12
9,Semi Ajayi\Semi-Ajayi,DF,West Brom,30.9,30.7,28.7,1.94,0.36,0.03,3.92,0.94,0.19,0,0,0,0,18.5,3.59,8.54,1.59,23.6,2.3,1.59,0.1,22.8,0.23,0.91,0.94,0.39
10,Nathan Aké\Nathan-Ake,DF,Manchester City,8.9,84.8,82,2.81,1.46,0,4.94,1.12,0,0,0,0,0,74,3.6,7.19,65.5,13,2.36,1.24,0.34,78.9,0,0.34,0.79,0.79
11,Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,19.4,47.6,42.5,5.1,0.52,0.31,7.78,1.7,3.76,1.6,0.26,0.57,0.21,27,9.74,10.9,3.51,38.9,1.29,2.99,0.31,32.7,0.31,0.82,1.55,3.71
12,Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,20.6,81.3,79.1,2.14,1.55,0.44,11.2,4.13,0.19,0,0,0,0,59.3,9.47,12.5,4.03,73.3,2.33,0.15,0.29,72.7,0.24,0.87,1.7,1.12
13,Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,24.9,54.8,52.4,2.41,2.01,0.08,3.94,2.05,0.04,0,0,0,0,37.2,4.82,12.8,10.2,40.6,2.65,0.4,0.16,45.9,0.08,0.76,0.84,0.52
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,0.2,55,40,15,10,0,5,0,0,0,0,0,0,35,5,15,5,40,0,0,10,35,0,5,0,0
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,33.7,87.3,72.8,14.5,1.69,0.27,7.36,4.36,5.4,3.09,0.5,1.69,0.12,48.3,15.8,23.2,9.94,65.5,1.87,9.67,0.18,65.8,0.33,1.1,1.87,3.06
16,Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,27.3,59.7,50.4,9.3,1.14,0.07,6.23,0.81,2.16,0,0,0,0,36.5,14.7,8.5,42.9,4.47,3.11,8.17,0.04,47.8,0.15,0.99,1.68,2.2
17,Alisson\Alisson,GK,Liverpool,33,34.5,27.3,7.15,1.91,0,2.48,1.06,0,0,0,0,0,24.8,1.79,7.88,2.91,25.8,0.03,0,4.82,29.3,0.09,0.48,0.33,0.03
18,Allan\Allan,MF,Everton,22.8,46,44.5,1.49,0.96,0,6.49,0.61,0.13,0,0,0,0,33.7,6.14,6.14,4.96,39.2,1.23,0.22,0.18,39.4,0.13,0.48,1.14,0.88
19,Dele Alli\Dele-Alli,MF,Tottenham,6.9,48.8,45.8,3.04,1.16,0.43,9.71,0.58,1.01,0,0,0,0,39.6,5.36,3.91,3.33,43.3,1.16,0.29,0,39.1,0.29,0.58,1.88,2.03
20,Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,27,32.5,31.3,1.19,0.22,0.07,5.22,0.63,1.07,0.22,0,0.04,0,24.9,4,3.56,29.6,1.41,0.74,0.22,0.26,26.3,0.15,0.26,0.81,1.15
21,Marcos Alonso\Marcos-Alonso,DF,Chelsea,10.7,55.3,47.3,8.04,1.03,0,7.94,0.37,1.21,0.37,0,0.37,0,37,10.2,8.13,40.7,4.86,1.87,6.64,0.28,45.1,0.37,0.56,1.21,2.34
