,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,,,,,,,,
Rk,Player,Pos,90s,Completed,Attempted,Percentage Completed,Total Distance,Progressive Distance,Completed,Attempted,Percentage Completed,Completed,Attempted,Percentage Completed,Attempted,Percentage Completed,Assists,xA,A-xA,Key Passes,1/3,PassesPA,CrossessPA,Prog
1,Patrick van Aanholt\Patrick-van-Aanholt,DF,19.7,45.1,57.2,78.9,756.8,352.6,23,26,88.7,17.2,21.2,81.3,7.72,52,0.05,0.04,0.01,0.56,3.45,1.32,0.2,5.69
2,Tammy Abraham\Tammy-Abraham,FW,11.6,12.8,18.8,68.3,177.3,28.2,7.93,10.2,78,3.36,5.52,60.9,1.29,60,0.09,0.08,0.01,0.69,1.03,0.17,0,0.95
3,Che Adams\Che-Adams,FW,29.6,15,21.4,70,248.6,55.2,7.67,10.2,75.2,4.83,6.22,77.7,2.47,69.9,0.17,0.2,-0.03,1.15,0.91,0.84,0.07,2.06
4,Tosin Adarabioyo\Tosin-Adarabioyo,DF,32.8,48.6,55.6,87.4,1138.3,363.7,9.27,10.4,89.4,28.5,30,94.8,14.3,73.6,0,0.01,-0.01,0.15,2.07,0.15,0.03,2.23
5,Adrián\Adrian,GK,3,25.3,33,76.8,677,378.3,5.33,5.33,100,12.3,12.7,97.4,14.3,48.8,0,0,0,0,0,0,0,0
6,Sergio Agüero\Sergio-Aguero,FWMF,6.2,23.1,27.4,84.1,301.1,46,13.2,15.2,87.2,6.77,7.74,87.5,0.81,100,0.16,0.21,-0.05,0.97,1.77,0.97,0.16,1.94
7,Ola Aina\Ola-Aina,DF,29.6,44.9,57.8,77.7,862.8,348.7,17.8,19.7,90.1,20.8,24.2,86.1,12,48,0.03,0.05,-0.01,0.47,3.31,0.51,0.3,3.31
8,Rayan Aït Nouri\Rayan-Ait-Nouri,DF,15.6,42.1,50.3,83.7,694.6,197.1,21,22.8,91.9,17.8,20,89.1,5.19,50.6,0.06,0.06,0,0.83,1.92,0.9,0.32,2.95
9,Semi Ajayi\Semi-Ajayi,DF,30.9,22.8,30.7,74.4,502.5,213.3,6.41,7.51,85.3,11.8,14.4,81.8,8.25,53.7,0,0.01,-0.01,0.16,2.17,0.13,0,2.07
10,Nathan Aké\Nathan-Ake,DF,8.9,78.9,84.8,93,1446.4,397.1,32.5,33.6,96.7,39.2,41.8,93.8,8.2,82.2,0,0,0,0.11,6.74,0.22,0,4.04
11,Marc Albrighton\Marc-Albrighton,DFFW,19.4,32.7,47.6,68.8,587.3,238.6,16.4,19.7,83.3,10.9,13.6,80.2,10.3,42.2,0.26,0.23,0.03,2.01,2.63,2.16,0.82,4.48
12,Thiago Alcántara\Thiago-Alcantara,MF,20.6,72.7,81.3,89.5,1533.7,399.6,25.3,27.4,92.6,32.6,35.2,92.7,16.4,82.2,0,0.11,-0.11,1.41,10,1.31,0.05,8.93
13,Toby Alderweireld\Toby-Alderweireld,DF,24.9,45.9,54.8,83.7,1089.4,302.7,10.7,11.5,92.7,23.3,25.1,93,17.3,66.4,0,0.01,-0.01,0.28,3.05,0.24,0.04,2.09
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,0.2,35,55,63.6,630,255,10,10,100,25,25,100,20,0,0,0,0,0,0,0,0,0
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,33.7,65.8,87.3,75.3,1409.9,578.6,23.3,26.4,88.2,29.5,35.3,83.6,23.1,53.9,0.21,0.24,-0.03,2.17,6.17,3,0.95,8.25
16,Ezgjan Alioski\Ezgjan-Alioski,DF,27.3,47.8,59.7,80.1,813.4,304.8,23,25.8,89.5,20.8,24.2,85.8,7.18,49.5,0.11,0.11,0,0.99,3,1.17,0.48,4.18
17,Alisson\Alisson,GK,33,29.3,34.5,85.1,767,404.4,4.82,4.88,98.8,15.9,16.2,98.1,13.2,64.2,0,0,0,0,0.21,0,0,0.03
18,Allan\Allan,MF,22.8,39.4,46,85.8,744.9,190.7,16.2,17.6,92,16.8,18.8,89.3,7.81,72.5,0,0.04,-0.04,0.7,3.99,0.66,0.04,3.6
19,Dele Alli\Dele-Alli,MF,6.9,39.1,48.8,80.1,674.5,155.1,18,21,85.5,16.8,19.1,87.9,5.65,66.7,0.14,0.13,0.01,1.16,2.46,1.3,0.14,3.91
