,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Rk,Player,Pos,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
1,Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,19.7,67.2,3.65,20.6,32.6,17.5,1.93,57.2,0.46,1.07,42.9,0.46,0,37.2,178.8,96.8,5.79,1.52,0.46,0.66,0.81,42.4,39.3,92.8,2.34
2,Tammy Abraham\Tammy-Abraham,FW,Chelsea,11.6,30.7,1.81,3.45,14.4,14.3,5.69,29.9,0.52,1.64,31.6,0.52,0.17,15.3,61.1,21.7,1.12,0.43,0.34,2.24,1.12,42.3,21.6,51.1,8.28
3,Che Adams\Che-Adams,FW,Southampton,29.6,33,0.74,3.31,15,16.6,3.72,32.6,0.84,1.49,56.8,0.95,0,21.3,88.8,39.5,2.26,0.91,0.34,2.5,1.76,49.8,24.8,49.8,6.39
4,Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,32.8,67.7,14.1,40.8,28,2.23,1.04,66.2,0.24,0.34,72.7,0.27,0,40.4,188.2,105.3,1.52,0.18,0,0.15,0.24,46.7,45.5,97.4,0.15
5,Adrián\Adrian,GK,Liverpool,3,37.7,34,37.7,0,0,0,28,0,0,,0,0,16.7,54,24.7,0,0,0,0,0,15.7,15.3,97.9,0
6,Sergio Agüero\Sergio-Aguero,FWMF,Manchester City,6.2,39.7,0,1.61,17.6,23.1,8.06,37.7,1.45,2.42,60,1.61,0.32,26.9,113.5,52.6,3.55,1.13,0.32,1.77,2.1,46,31.1,67.7,8.39
7,Ola Aina\Ola-Aina,DF,Fulham,29.6,68.6,3.95,26.6,33.9,12,0.71,59.7,0.71,1.15,61.8,0.74,0.07,39.2,204.2,112.7,3.85,1.18,0.17,0.68,0.51,43.5,41.6,95.4,0.84
8,Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,15.6,63.2,2.76,16.9,29.8,20.6,1.86,54.7,2.37,3.91,60.7,2.44,0.13,41.7,200.3,131,6.28,1.99,0.9,1.41,1.35,42.7,39.3,92,1.99
9,Semi Ajayi\Semi-Ajayi,DF,West Brom,30.9,41.4,7.54,22.9,17.8,2.62,1.17,39.5,0.39,0.58,66.7,0.42,0.03,19.8,107.8,57,0.94,0.32,0,0.36,0.42,22.4,20.3,90.7,0.19
10,Nathan Aké\Nathan-Ake,DF,Manchester City,8.9,92.2,4.72,24.9,65.5,9.33,0.56,89.4,0,0,,0,0,68.2,338.2,207.5,7.87,3.03,0,0.34,0.22,75.4,73.7,97.8,0.22
11,Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,19.4,59,2.06,12.6,24.1,26,2.27,54,1.55,3.09,50,1.65,0.15,38.9,193.1,95.2,4.54,1.24,0.41,1.13,2.01,47.1,37.1,78.7,3.66
12,Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,20.6,92.3,1.6,16.8,59.6,22.3,0.87,90.5,1.36,2.04,66.7,1.46,0.05,65.9,287.4,156.4,7.48,2.82,0.19,0.73,0.87,73.4,69.5,94.6,1.84
13,Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,24.9,65.8,12.1,39,28.8,1.61,0.56,63.4,0.12,0.12,100,0.12,0,39.1,193.5,99.3,1.97,0.2,0,0.08,0.08,44.3,43.7,98.6,0.16
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,0.2,65,55,60,5,0,0,50,0,0,,0,0,40,185,150,0,0,0,0,0,30,30,100,0
