,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Rk,Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
1,Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,19.7,1.68,0.96,1.07,0.56,0.05,0.76,2.13,35.7,1.37,10.5,3.5,33.5,6.6,2.84,1.02,1.57,0.36,0.05,1.22,1.73,3.4,2.03,0.05
2,Tammy Abraham\Tammy-Abraham,FW,Chelsea,11.6,0.69,0.34,0.26,0.34,0.09,0.09,0.52,16.7,0.43,14,3.28,23.5,1.12,6.12,6.72,0.78,0.17,0,0.6,0.17,0.86,1.47,0
3,Che Adams\Che-Adams,FW,Southampton,29.6,1.01,0.57,0.17,0.44,0.41,0.2,0.78,26.1,0.57,14.5,4.66,32.1,1.62,5.47,7.43,0.88,0.14,0,0.74,0.37,1.39,0.54,0.03
4,Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,32.8,1.25,0.79,0.95,0.27,0.03,0.61,1.16,52.6,0.55,5.55,1.8,32.4,3.51,1.83,0.21,1.16,0.7,0,0.46,1.68,2.93,7.35,0.03
5,Adrián\Adrian,GK,Liverpool,3,0,0,0,0,0,0,0,,0,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0.33
6,Sergio Agüero\Sergio-Aguero,FWMF,Manchester City,6.2,0.48,0,0,0.16,0.32,0.32,1.77,18.2,1.45,14.4,4.03,28.1,1.29,5,8.06,0.81,0.16,0,0.65,0.65,1.13,0.16,0
7,Ola Aina\Ola-Aina,DF,Fulham,29.6,1.59,0.84,0.91,0.47,0.2,0.57,1.39,41.5,0.81,8.82,2.2,24.9,4.83,3.24,0.74,1.59,0.27,0,1.32,1.76,3.34,4.09,0
8,Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,15.6,1.99,1.03,1.03,0.83,0.13,0.77,1.67,46.2,0.9,15.4,4.62,29.9,8.4,4.74,2.31,1.73,0,0,1.73,0.96,2.95,2.5,0
9,Semi Ajayi\Semi-Ajayi,DF,West Brom,30.9,1.88,1.36,1.42,0.39,0.06,0.58,1.17,50,0.58,11,4.27,38.8,7.15,3.3,0.55,2.01,1.13,0.1,0.87,1.33,3.2,4.79,0.1
10,Nathan Aké\Nathan-Ake,DF,Manchester City,8.9,1.69,0.67,0.79,0.67,0.22,0.45,0.56,80,0.11,8.2,2.81,34.2,3.93,3.37,0.9,0.67,0.22,0,0.45,0.67,2.36,2.92,0
11,Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,19.4,2.22,1.6,0.82,0.93,0.46,1.03,2.84,36.4,1.8,17.5,6.65,37.9,5.72,7.42,4.38,1.65,0.1,0.05,1.55,1.44,3.66,1.34,0
12,Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,20.6,3.3,2.09,1.31,1.41,0.58,0.92,2.43,38,1.5,22.4,6.55,29.2,5.83,11.3,5.34,1.36,0.05,0,1.31,2.04,5.34,1.02,0
13,Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,24.9,1.53,0.76,0.92,0.6,0,0.6,1.08,55.6,0.48,8.11,2.97,36.6,5.14,2.85,0.12,2.13,1.29,0.04,0.84,0.6,2.13,6.51,0
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,33.7,1.72,1.07,0.86,0.62,0.24,0.98,1.69,57.9,0.71,9.73,3.41,35.1,3.68,3.35,2.7,1.31,0.12,0,1.19,1.45,3.18,2.11,0.06
16,Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,27.3,3,1.54,1.5,1.21,0.29,1.03,2.82,36.4,1.79,19.6,5.57,28.5,8.9,7.95,2.71,1.68,0.22,0,1.47,1.32,4.32,2.23,0
17,Alisson\Alisson,GK,Liverpool,33,0,0,0,0,0,0,0.03,0,0.03,0.15,0.03,20,0.15,0,0,0,0,0,0,0,0,0.03,0.21
18,Allan\Allan,MF,Everton,22.8,3.29,2.37,1.71,1.45,0.13,1.23,4.12,29.8,2.89,29.5,8.38,28.4,11.8,15.8,1.93,1.71,0.57,0,1.14,1.01,4.3,1.32,0
