Player,Nation,Pos,Age,90s,Carries,CarriesTotDist,CarriesPrgDist,ProgCarries,CarriesFinalThird,CarriesPenaltyArea,MissedCarries,CarriesDisp,Prog
Ederson\3bb7b8b4,br BRA,GK,23,35.5,18.8,76.7,40.5,0,0,0,0.06,0.06,0
Kevin De Bruyne\e46012d4,be BEL,MF,26,34.1,70.9,360.8,234.5,12.5,4.57,0.82,1.82,1.91,9.3
Nicolás Otamendi\0d267745,ar ARG,DF,29,33,73.6,480.6,300.8,10.2,1.64,0.03,0.39,0.12,5.12
Fernandinho\101da2b5,br BRA,MF,32,32,72.3,344.1,210.4,10.3,2.94,0.16,0.53,0.69,8.09
Kyle Walker\86dd77d1,eng ENG,DF,27,30.9,63.3,306.7,164.9,6.38,2.36,0.42,0.81,0.68,5.7
Raheem Sterling\b400bde0,eng ENG,FW,22,28.7,46.8,205.9,128.9,7.63,2.06,2.23,1.88,3.14,2.82
David Silva\e2716bd0,es ESP,MF,31,27,76,423,222,12.5,5.04,1.19,1.44,1.41,7.96
Leroy Sané\2b114be3,de GER,FW,21,26.9,45.4,197.9,113.6,6.95,1.52,1.9,2.75,3.23,2.45
Sergio Agüero\4d034881,ar ARG,FW,29,21.8,31.7,168.9,91.7,5.87,1.56,1.51,2.66,2.8,1.74
Fabian Delph\111c3236,eng ENG,DF,27,19.3,73.2,294,161.4,7.15,2.8,0.05,0.67,0.57,5.6
Gabriel Jesus\b66315ae,br BRA,FW,20,18.5,27.9,99.1,47.2,3.3,0.81,0.49,2.43,1.08,1.78
Vincent Kompany\d2bff301,be BEL,DF,31,15.5,71.9,377.3,215.8,5.74,1.03,0,0.19,0.13,3.81
John Stones\5eecec3d,eng ENG,DF,23,14.5,67.7,307.2,163.4,3.86,0.34,0,0.07,0.21,3.24
Bernardo Silva\3eb22ec9,pt POR,FWMF,22,17,54.7,296.5,163.5,9.47,2.94,1.94,1.47,1.65,3.59
İlkay Gündoğan\819b3158,de GER,MF,26,16.9,70,296.3,165.9,8.99,2.84,0.3,1.72,1.48,6.51
Danilo\94b2001f,br BRA,DF,26,15,64.9,250.5,149.6,7.87,2.07,0.2,0.8,0.47,5.87
Aymeric Laporte\119b9a8e,es ESP,DF,23,9,65.1,320.8,200.2,6.78,0.78,0,0.11,0,6.78
Oleksandr Zinchenko\51cf8561,ua UKR,DF,20,5.9,81,250.3,134.1,7.63,2.88,0.34,0.34,0.34,8.81
Eliaquim Mangala\f520049f,fr FRA,DF,26,5.4,50.6,301.1,190.2,4.26,0.19,0,0,0.74,2.04
Benjamin Mendy\5271c8f1,fr FRA,DF,23,4,49.5,241.5,160.3,6.75,2.75,0.5,1,1.75,5.75
Claudio Bravo\10072610,cl CHI,GK,34,2.5,17.2,74,48,0,0,0,0,0,0
Yaya Touré\c204f844,ci CIV,MF,34,2.6,128.5,643.8,456.2,22.3,6.54,1.15,0,0.38,14.2
Brahim Díaz\407feb71,es ESP,FWMF,17,0.6,68.3,223.3,103.3,6.67,0,3.33,10,6.67,0
Phil Foden\ed1e53f3,eng ENG,MFFW,17,0.5,78,524,262,16,4,4,4,0,0
Lukas Nmecha\0cc5f4a5,de GER,FW,18,0.2,30,45,10,0,0,0,0,5,0
