Player,Nation,Pos,90s,Carries,CarriesTotDist,CarriesPrgDist,ProgCarries,CarriesFinalThird,CarriesPenaltyArea,MissedCarries,CarriesDisp,Prog
Ederson\3bb7b8b4,br BRA,GK,36,19.2,91.1,53.8,0,0,0,0.03,0,0.03
Rúben Dias\31c69ef1,pt POR,DF,31.6,68.1,421.6,255,7.28,0.54,0,0.22,0.16,3.67
Rodri\6434f10d,es ESP,MF,30.5,70.4,321.3,159.3,6.3,1.54,0.33,0.59,0.72,5.11
Raheem Sterling\b400bde0,eng ENG,FW,28.2,45,215,130.7,8.3,1.88,2.2,2.13,2.91,2.2
João Cancelo\bd6351cd,pt POR,DF,25.5,63.7,295.7,166.3,8.55,2.86,0.86,0.98,1.18,6.51
Bernardo Silva\3eb22ec9,pt POR,MFFW,22.9,55.2,378.1,218.5,12,4.19,1.4,1.09,1.22,3.14
İlkay Gündoğan\819b3158,de GER,MF,22.5,60.8,312.1,163.4,7.78,2.89,0.67,0.93,0.62,5.24
Kevin De Bruyne\e46012d4,be BEL,MF,22.2,53.5,294.5,189.6,9.59,3.69,1.4,1.58,1.53,7.79
Riyad Mahrez\892d5bb1,dz ALG,FW,21.7,48.2,252.3,140.1,9.31,2.07,2.21,1.52,1.61,4.06
Gabriel Jesus\b66315ae,br BRA,FW,22.9,34.4,175.2,85.6,5.15,1.22,1.09,1.97,2.18,1.35
Kyle Walker\86dd77d1,eng ENG,DF,21.6,69.6,353.9,182.9,8.52,3.06,0.28,0.37,0.97,4.95
John Stones\5eecec3d,eng ENG,DF,21.5,65.7,458.8,264.6,9.44,1.53,0,0.19,0.05,3.49
Phil Foden\ed1e53f3,eng ENG,FWMF,18,43.8,213.9,124.3,7.61,1.83,2.06,2.17,1.61,3.33
Oleksandr Zinchenko\51cf8561,ua UKR,DF,16.4,61.4,281.4,151.3,7.8,2.32,0.12,0.49,0.3,5.67
Ferrán Torres\9e1035f8,es ESP,FWMF,14.5,32.2,157.1,83.3,5.03,1.17,0.97,1.24,2.07,2.34
Aymeric Laporte\119b9a8e,es ESP,DF,14.9,68,413,274.1,9.4,1.41,0,0.2,0.13,4.83
Fernandinho\101da2b5,br BRA,MF,13.2,60.1,305.7,184.6,10.2,3.18,0.38,0.3,0.45,7.27
Nathan Aké\eaeca114,nl NED,DF,8.9,68.2,338.2,207.5,7.87,3.03,0,0.34,0.22,4.04
Sergio Agüero\4d034881,ar ARG,FWMF,6.2,26.9,113.5,52.6,3.55,1.13,0.32,1.77,2.1,1.94
Eric García\2bed3eab,es ESP,DF,4.3,65.3,399.5,245.6,10.5,1.63,0,0.23,0,3.72
