Player,Pos,Carries,TotDistCarried,PrgDistCarried,ProgCarries,CarriesFinalThird,CarriesPenaltyArea,MissedCarries,LostCarries,Prog
João Cancelo\bd6351cd,DF,77,338.9,182.6,10.5,3.89,0.83,0.61,0.74,7.73
Bernardo Silva\3eb22ec9,MFFW,54.5,320.9,183.2,10.6,3.15,1.28,1.23,1.1,2.79
Rúben Dias\31c69ef1,DF,66,373.5,232,8.6,0.77,0,0.19,0.1,3.82
Rodri\6434f10d,MF,66.3,267.5,131.2,5.88,1.29,0.15,0.31,0.93,5.67
Aymeric Laporte\119b9a8e,DF,70.2,429.3,296.4,10.4,1.36,0.05,0.05,0.1,5.92
Gabriel Jesus\b66315ae,FW,42.2,203.7,102.3,7.76,1.22,1.56,3.13,2.18,2.79
Jack Grealish\b0b4fd3e,FW,51,378.4,233.8,14.6,3.33,4.26,1.13,1.99,3.4
Raheem Sterling\b400bde0,FW,47.2,227.4,134.7,8.58,1.42,2.16,1.82,3.31,3.38
Kyle Walker\86dd77d1,DF,67,277,113.9,4.37,2.07,0.3,0.67,0.3,4.52
Kevin De Bruyne\e46012d4,MF,52.3,222.2,137.4,6.97,2.65,0.45,1.44,1.29,6.52
Phil Foden\ed1e53f3,FW,47.5,210.2,104.2,6,2.08,2.08,1.08,2.69,3.46
İlkay Gündoğan\819b3158,MF,48.8,241.2,111.8,6.17,2.33,0.5,0.83,1.08,3.92
Riyad Mahrez\892d5bb1,FW,53.9,283.1,155.6,8.61,1.49,2.18,1.78,2.28,4.16
John Stones\5eecec3d,DF,57.6,394.8,237.7,10.8,2.27,0,0.3,0,3.33
Nathan Aké\eaeca114,DF,61.8,320.6,216.3,7.23,1.38,0,0.31,0.15,2.31
Fernandinho\101da2b5,MF,62.1,275.2,136.2,6.21,1.38,0,0.86,1.38,5.17
Oleksandr Zinchenko\51cf8561,DF,66.3,334.6,183.8,10,4.46,0,0.71,0.36,6.79
Ferrán Torres\9e1035f8,FW,21.2,83.2,27.4,0.59,0,0.59,1.18,1.18,0.59
Cole Palmer\dc7f8a28,FWMF,40,182.9,92.9,4.29,1.43,2.14,4.29,2.86,3.57
