Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,GperSoT,Dist,FK,PK,PKatt,xG,npxG,npxGperSh,G-xG,np:G-xG
1,Myron Boadu\5b479568,nl NED,FW,Monaco,fr Ligue 1,20,2001,10.7,4,21,8,38.1,1.97,0.75,0.19,0.5,9.8,0,0,0,6.7,6.7,0.32,-2.7,-2.7
2,Frenkie de Jong\1bacc518,nl NED,MF,Barcelona,es La Liga,24,1997,27.5,3,17,7,41.2,0.62,0.25,0.18,0.43,13.8,0,0,0,4.5,4.5,0.26,-1.5,-1.5
3,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,6,23,13,56.5,3.16,1.79,0.26,0.46,11.2,0,0,1,6.5,5.8,0.25,-0.5,+0.2
4,Yeremi Pino\540ec57b,es ESP,MFFW,Villarreal,es La Liga,18,2002,18.6,6,26,15,57.7,1.39,0.8,0.23,0.4,11.4,0,0,0,6.2,6.2,0.24,-0.2,-0.2
5,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,eng Premier League,26,1994,23.6,13,54,25,46.3,2.28,1.06,0.2,0.44,13.8,0,2,3,14.4,12,0.22,-1.4,-1
6,Juanmi\84399660,es ESP,FW,Betis,es La Liga,28,1993,23.7,16,55,30,54.5,2.32,1.27,0.29,0.53,13.5,0,0,0,11.8,11.8,0.21,+4.2,+4.2
7,Lucas Pérez\a300ac7e,es ESP,FWMF,Cádiz,es La Liga,32,1988,11.8,3,16,5,31.3,1.36,0.42,0.19,0.6,13.8,3,0,0,3.3,3.3,0.21,-0.3,-0.3
8,Marco Reus\36a3ff67,de GER,MFFW,Dortmund,de Bundesliga,32,1989,27.8,9,51,22,43.1,1.83,0.79,0.18,0.41,15.4,6,0,0,10.8,10.8,0.21,-1.8,-1.8
9,Roberto Soldado\9d66fbe3,es ESP,FW,Levante,es La Liga,36,1985,7.4,3,17,8,47.1,2.3,1.08,0.18,0.38,11.8,0,0,0,3.5,3.5,0.21,-0.5,-0.5
10,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,23,1997,34.3,17,93,32,34.4,2.71,0.93,0.15,0.44,12.2,2,3,3,20.5,18.3,0.2,-3.5,-4.3
11,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,1,19,8,42.1,2.17,0.91,0.05,0.13,13,1,0,0,3.7,3.7,0.2,-2.7,-2.7
12,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,eng Premier League,27,1993,6.2,2,20,5,25,3.22,0.81,0.1,0.4,13.6,0,0,0,3.9,3.9,0.2,-1.9,-1.9
13,Mario Pašalić\e599253a,hr CRO,MFFW,Atalanta,it Serie A,26,1995,22.2,13,49,20,40.8,2.2,0.9,0.27,0.65,10.9,0,0,0,9.7,9.7,0.2,+3.3,+3.3
14,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,es La Liga,32,1989,12,11,38,20,52.6,3.16,1.66,0.29,0.55,11.3,0,0,0,7.1,7.1,0.19,+3.9,+3.9
15,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,15,66,30,45.5,2.73,1.24,0.2,0.43,12.9,0,2,2,14,12.4,0.19,+1.0,+0.6
16,Mohamed Bayo\01870104,gn GUI,FW,Clermont Foot,fr Ligue 1,23,1998,26.8,14,62,26,41.9,2.31,0.97,0.19,0.46,12.5,0,2,3,14,11.6,0.19,0,+0.4
17,Ihlas Bebou\a53b661f,tg TOG,FWDF,Hoffenheim,de Bundesliga,27,1994,23.2,7,45,14,31.1,1.94,0.6,0.16,0.5,12,0,0,0,8.4,8.4,0.19,-1.4,-1.4
18,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,eng Premier League,34,1987,8.5,2,18,6,33.3,2.11,0.7,0.11,0.33,11.4,0,0,0,3.4,3.4,0.19,-1.4,-1.4
19,Bamba Dieng\40774c6b,sn SEN,FWMF,Marseille,fr Ligue 1,21,2000,10.8,7,37,18,48.6,3.42,1.66,0.16,0.33,12.8,0,1,1,7.7,6.9,0.19,-0.7,-0.9
20,Alberth Elis\104b4ad3,hn HON,FWMF,Bordeaux,fr Ligue 1,25,1996,15.7,9,30,12,40,1.92,0.77,0.3,0.75,13.8,0,0,1,6.6,5.8,0.19,+2.4,+3.2
21,Kévin Gameiro\42276181,fr FRA,FW,Strasbourg,fr Ligue 1,34,1987,26.5,11,65,25,38.5,2.45,0.94,0.15,0.4,13.5,0,1,3,14,11.7,0.19,-3,-1.7
22,Son Heung-min\92e7e919,kr KOR,FWMF,Tottenham,eng Premier League,29,1992,33.4,23,86,47,54.7,2.57,1.41,0.27,0.49,15.4,2,0,0,16.4,16.4,0.19,+6.6,+6.6
23,Max Kruse\f9446dcd,de GER,FWMF,Wolfsburg,de Bundesliga,33,1988,12.5,7,19,9,47.4,1.52,0.72,0.26,0.56,17.1,0,2,2,5.1,3.6,0.19,+1.9,+1.4
24,Ademola Lookman\7c104bb7,ng NGA,FWMF,Leicester City,eng Premier League,23,1997,16.1,6,27,12,44.4,1.67,0.74,0.22,0.5,13.9,0,0,0,5.1,5.1,0.19,+0.9,+0.9
25,Thomas Müller\3c6089ab,de GER,MF,Bayern Munich,de Bundesliga,31,1989,28.4,8,55,24,43.6,1.94,0.84,0.15,0.33,12.6,0,0,0,10,10,0.19,-2,-2
26,Florian Niederlechner\d6862409,de GER,FW,Augsburg,de Bundesliga,30,1990,12.9,5,28,12,42.9,2.16,0.93,0.18,0.42,11.8,0,0,0,5.4,5.4,0.19,-0.4,-0.4
27,Lukas Nmecha\0cc5f4a5,de GER,FWMF,Wolfsburg,de Bundesliga,22,1998,18.1,8,54,21,38.9,2.99,1.16,0.15,0.38,12.5,0,0,0,10,10,0.19,-2,-2
28,Patrik Schick\5d4f7d61,cz CZE,FW,Leverkusen,de Bundesliga,25,1996,23.1,24,88,42,47.7,3.82,1.82,0.26,0.55,12.6,2,1,2,17.8,16.3,0.19,+6.2,+6.7
29,André Silva\3effaa34,pt POR,FW,RB Leipzig,de Bundesliga,25,1995,23.1,11,54,23,42.6,2.34,1,0.15,0.35,11.1,0,3,3,12.2,10.3,0.19,-1.2,-2.3
30,Rubén Sobrino\19b776e9,es ESP,FWMF,Cádiz,es La Liga,29,1992,20.7,4,34,10,29.4,1.64,0.48,0.12,0.4,12,0,0,0,6.3,6.3,0.19,-2.3,-2.3
31,Sambou Soumano\7cc00776,sn SEN,FW,Lorient,fr Ligue 1,20,2001,5,3,18,4,22.2,3.62,0.81,0.17,0.75,10.6,0,0,0,3.4,3.4,0.19,-0.4,-0.4
32,Wout Weghorst\c4e87b8b,nl NED,FW,Wolfsburg,de Bundesliga,28,1992,17.3,6,38,19,50,2.2,1.1,0.13,0.26,11.9,0,1,2,8.9,7.4,0.19,-2.9,-2.4
33,Christoph Baumgartner\437f2b00,at AUT,MFFW,Hoffenheim,de Bundesliga,21,1999,21,7,42,17,40.5,2,0.81,0.17,0.41,13.2,0,0,0,7.4,7.4,0.18,-0.4,-0.4
34,Rafael Borré\c68da769,co COL,FW,Eint Frankfurt,de Bundesliga,25,1995,26.4,8,51,24,47.1,1.93,0.91,0.16,0.33,13.5,0,0,0,9.3,9.3,0.18,-1.3,-1.3
35,Francesco Caputo\5bd72174,it ITA,FW,Sampdoria,it Serie A,33,1987,31,11,54,28,51.9,1.74,0.9,0.2,0.39,12.6,0,0,1,10.8,9.8,0.18,+0.2,+1.2
36,Matheus Cunha\dc62b55d,br BRA,FW,Atlético Madrid,es La Liga,22,1999,11.8,6,36,14,38.9,3.05,1.19,0.17,0.43,15.1,0,0,0,6.3,6.3,0.18,-0.3,-0.3
37,Patson Daka\ca45605e,zm ZAM,FW,Leicester City,eng Premier League,22,1998,12.9,5,26,15,57.7,2.02,1.16,0.19,0.33,15.4,0,0,0,4.7,4.7,0.18,+0.3,+0.3
38,Jonathan David\ce50fd99,ca CAN,FW,Lille,fr Ligue 1,21,2000,31.2,15,66,30,45.5,2.12,0.96,0.2,0.43,13.3,0,2,3,14.1,11.8,0.18,+0.9,+1.2
39,Moussa Dembélé\e7986081,fr FRA,FW,Lyon,fr Ligue 1,25,1996,24.5,21,84,37,44,3.43,1.51,0.19,0.43,12,0,5,5,18.8,15.1,0.18,+2.2,+0.9
40,Habib Diallo\6605d143,sn SEN,FW,Strasbourg,fr Ligue 1,26,1995,17.1,11,50,22,44,2.92,1.28,0.18,0.41,12,0,2,2,10.3,8.7,0.18,+0.7,+0.3
41,Sepe Elye Wahi\0d7b6576,fr FRA,FW,Montpellier,fr Ligue 1,18,2003,19.8,10,43,20,46.5,2.17,1.01,0.23,0.5,12.6,0,0,0,7.9,7.9,0.18,+2.1,+2.1
42,Breel Embolo\0b4f388a,ch SUI,FWMF,M'Gladbach,de Bundesliga,24,1997,24.1,9,48,23,47.9,1.99,0.96,0.19,0.39,13.5,0,0,0,8.8,8.8,0.18,+0.2,+0.2
43,Erling Haaland\1f44ac21,no NOR,FW,Dortmund,de Bundesliga,21,2000,21.2,22,74,31,41.9,3.49,1.46,0.22,0.52,13.5,0,6,6,17.6,13,0.18,+4.4,+3.0
44,Mauro Icardi\43b78598,ar ARG,FW,Paris S-G,fr Ligue 1,28,1993,11.4,4,28,10,35.7,2.45,0.88,0.14,0.4,10.3,0,0,0,5.2,5.2,0.18,-1.2,-1.2
45,Diogo Jota\178ae8f8,pt POR,FW,Liverpool,eng Premier League,24,1996,26.3,15,91,33,36.3,3.46,1.26,0.16,0.45,11.8,0,0,0,16.1,16.1,0.18,-1.1,-1.1
46,Tino Kadewere\7d08063d,zw ZIM,FW,Lyon,fr Ligue 1,25,1996,5.6,1,18,7,38.9,3.2,1.25,0.06,0.14,12.8,0,0,0,3.3,3.3,0.18,-2.3,-2.3
47,Randal Kolo Muani\c0b3669f,fr FRA,FWMF,Nantes,fr Ligue 1,22,1998,32.8,12,55,26,47.3,1.68,0.79,0.22,0.46,11.3,0,0,0,9.9,9.9,0.18,+2.1,+2.1
48,Robert Lewandowski\8d78e732,pl POL,FW,Bayern Munich,de Bundesliga,32,1988,32.7,35,157,77,49,4.8,2.35,0.19,0.39,12.6,3,5,5,32.6,28.9,0.18,+2.4,+1.1
49,Terem Moffi\065dc209,ng NGA,FW,Lorient,fr Ligue 1,22,1999,30.1,8,58,20,34.5,1.93,0.66,0.1,0.3,15.1,0,2,2,12,10.5,0.18,-4,-4.5
50,Fernando Niño\81d5c497,es ESP,FW,Mallorca,es La Liga,20,2000,9.8,2,23,13,56.5,2.34,1.32,0.09,0.15,12.2,0,0,0,4.1,4.1,0.18,-2.1,-2.1
51,Christopher Nkunku\7c56da38,fr FRA,FWMF,RB Leipzig,de Bundesliga,23,1997,30.3,20,80,39,48.8,2.64,1.29,0.24,0.49,15.7,7,1,1,14.8,14.1,0.18,+5.2,+4.9
52,Miloš Pantović\5dc15574,rs SRB,MFFW,Bochum,de Bundesliga,25,1996,17,4,22,10,45.5,1.29,0.59,0.14,0.3,18,0,1,1,4.8,4,0.18,-0.8,-1
53,Yussuf Poulsen\d2416c2e,dk DEN,FW,RB Leipzig,de Bundesliga,27,1994,12,6,28,14,50,2.34,1.17,0.21,0.43,12.4,0,0,0,5.1,5.1,0.18,+0.9,+0.9
54,Grischa Prömel\924f9191,de GER,MF,Union Berlin,de Bundesliga,26,1995,26.9,8,37,12,32.4,1.37,0.45,0.22,0.67,12.4,0,0,0,6.6,6.6,0.18,+1.4,+1.4
55,Christian Pulisic\1bf33a9a,us USA,MFFW,Chelsea,eng Premier League,22,1998,14.3,6,28,11,39.3,1.95,0.77,0.21,0.55,12.9,0,0,0,5.1,5.1,0.18,+0.9,+0.9
56,Alexander Sørloth\e92cd3f7,no NOR,FW,Real Sociedad,es La Liga,25,1995,19.6,4,37,12,32.4,1.89,0.61,0.11,0.33,11.6,0,0,0,6.5,6.5,0.18,-2.5,-2.5
57,Yoann Touzghar\4e47507a,tn TUN,FW,Troyes,fr Ligue 1,34,1986,16.2,4,27,12,44.4,1.67,0.74,0.15,0.33,12.8,0,0,0,4.7,4.7,0.18,-0.7,-0.7
58,Jamie Vardy\45963054,eng ENG,FW,Leicester City,eng Premier League,34,1987,20.1,15,53,25,47.2,2.64,1.25,0.28,0.6,12.1,0,0,0,9.5,9.5,0.18,+5.5,+5.5
59,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,4,42,15,35.7,2.06,0.73,0.1,0.27,15.5,0,0,0,7,7,0.17,-3,-3
60,Kevin Behrens\30ae134d,de GER,FW,Union Berlin,de Bundesliga,30,1991,5.5,2,16,7,43.8,2.89,1.26,0.13,0.29,11.1,0,0,0,2.7,2.7,0.17,-0.7,-0.7
61,Wissam Ben Yedder\942b4f90,fr FRA,FW,Monaco,fr Ligue 1,30,1990,28.1,25,65,35,53.8,2.31,1.25,0.26,0.49,14,2,8,8,17.3,11.2,0.17,+7.7,+5.8
62,Beto\ed5c0319,gw GNB,FW,Udinese,it Serie A,23,1998,24.1,11,64,26,40.6,2.65,1.08,0.17,0.42,12.8,0,0,0,10.6,10.6,0.17,+0.4,+0.4
63,Jonathan Burkardt\05f99a4a,de GER,FWMF,Mainz 05,de Bundesliga,21,2000,29,11,77,33,42.9,2.65,1.14,0.13,0.3,14.1,0,1,1,13.9,13.2,0.17,-2.9,-3.2
64,Álex Cantero\4aa253fd,es ESP,FWMF,Levante,es La Liga,21,2000,6.8,0,16,5,31.3,2.36,0.74,0,0,15.4,0,0,0,2.7,2.7,0.17,-2.7,-2.7
65,Hugo Ekitike\5b92d896,fr FRA,FW,Reims,fr Ligue 1,19,2002,14.1,10,29,16,55.2,2.05,1.13,0.31,0.56,14.7,0,1,2,6.4,4.7,0.17,+3.6,+4.3
66,Gonzalo Escalante\3f79a1c8,ar ARG,MF,Alavés,es La Liga,28,1993,14.4,5,17,9,52.9,1.18,0.62,0.29,0.56,11.4,0,0,0,2.9,2.9,0.17,+2.1,+2.1
67,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,eng Premier League,29,1991,11,5,30,11,36.7,2.73,1,0.17,0.45,15.1,0,0,0,5,5,0.17,0,0
68,Arnaut Groeneveld\f08490a6,nl NED,FW,Villarreal,es La Liga,24,1997,16.4,10,59,25,42.4,3.61,1.53,0.12,0.28,14.7,2,3,3,12.5,10.2,0.17,-2.5,-3.2
69,Sehrou Guirassy\923f4dda,gn GUI,FW,Rennes,fr Ligue 1,25,1996,11.3,9,45,17,37.8,3.99,1.51,0.2,0.53,12.6,0,0,0,7.4,7.4,0.17,+1.6,+1.6
70,Kai Havertz\fed7cb61,de GER,FWMF,Chelsea,eng Premier League,22,1999,20.1,8,56,23,41.1,2.79,1.14,0.14,0.35,12.2,0,0,0,9.7,9.7,0.17,-1.7,-1.7
71,Cedric Itten\ef233486,ch SUI,FW,Greuther Fürth,de Bundesliga,24,1996,7.1,2,16,9,56.3,2.27,1.28,0.13,0.22,13.9,0,0,0,2.7,2.7,0.17,-0.7,-0.7
