id,isResult,side,h/id,h/title,h/short_title,a/id,a/title,a/short_title,goals/h,goals/a,xG/h,xG/a,datetime,forecast/w,forecast/d,forecast/l,result
467,true,h,88,Manchester City,MCI,77,Sunderland,SUN,2,1,1.95479,1.09877,2016-08-13 20:30:00,0.572653180326431,0.21786784763689343,0.20947896917031741,w
472,true,a,85,Stoke,STO,88,Manchester City,MCI,1,4,1.31066,2.17198,2016-08-20 15:30:00,0.22546068547460188,0.20407093390321704,0.5704683692378633,w
490,true,h,88,Manchester City,MCI,81,West Ham,WHU,3,1,3.21624,1.08385,2016-08-28 19:00:00,0.7868693064280088,0.12205609664328847,0.09107303783848102,w
491,true,a,89,Manchester United,MUN,88,Manchester City,MCI,1,2,1.01013,1.88688,2016-09-10 15:30:00,0.19880184815510496,0.2224787306231793,0.5787194194255731,w
504,true,h,88,Manchester City,MCI,73,Bournemouth,BOU,4,0,3.38733,0.389672,2016-09-17 18:00:00,0.9160939704851033,0.06466659147725624,0.01923654169349987,w
515,true,a,84,Swansea,SWA,88,Manchester City,MCI,1,3,1.11096,2.57704,2016-09-24 15:00:00,0.1430245072304171,0.16752611996898056,0.6894492712924379,w
529,true,a,82,Tottenham,TOT,88,Manchester City,MCI,2,0,1.69975,0.909513,2016-10-02 17:15:00,0.5602058503202665,0.2396505469999292,0.2001436022335455,l
534,true,h,88,Manchester City,MCI,72,Everton,EVE,1,1,2.69208,0.144498,2016-10-15 18:00:00,0.9052939448583082,0.08374750556223558,0.01095837391752387,d
549,true,h,88,Manchester City,MCI,74,Southampton,SOU,1,1,1.15321,0.563752,2016-10-23 16:30:00,0.502766115286869,0.31678726463253765,0.18044662007838688,d
2680,true,a,76,West Bromwich Albion,WBA,88,Manchester City,MCI,0,4,0.596605,2.48018,2016-10-29 18:00:00,0.06932379931626492,0.1441260005503625,0.786550137623924,w
2689,true,h,88,Manchester City,MCI,93,Middlesbrough,MID,1,1,2.49606,0.208762,2016-11-05 19:00:00,0.8736754887884107,0.10654507036115081,0.01977937306685509,d
2703,true,a,78,Crystal Palace,CRY,88,Manchester City,MCI,1,2,0.431559,1.39421,2016-11-19 19:00:00,0.11367668930134363,0.27361340789379157,0.6127099027745052,w
2707,true,a,92,Burnley,BUR,88,Manchester City,MCI,1,2,0.475642,2.25698,2016-11-26 16:30:00,0.06287360720564428,0.15601208065578312,0.7811142934491054,w
3105,true,h,88,Manchester City,MCI,80,Chelsea,CHE,1,3,2.24061,1.2848,2016-12-03 16:30:00,0.5899567616027639,0.1986392649906697,0.2114039563837885,l
3120,true,a,75,Leicester,LEI,88,Manchester City,MCI,4,2,2.60583,0.970372,2016-12-10 21:30:00,0.7241227394930085,0.15823424243839843,0.11764290131359956,l
3132,true,h,88,Manchester City,MCI,90,Watford,WAT,2,0,1.62359,0.497462,2016-12-15 00:00:00,0.6519904105792413,0.238151046217622,0.1098585429623227,w
3142,true,h,88,Manchester City,MCI,83,Arsenal,ARS,2,1,1.5186,0.609893,2016-12-18 20:00:00,0.5942476858242143,0.2575556542040507,0.14819665987431077,w
3152,true,a,91,Hull,HUL,88,Manchester City,MCI,0,3,0.350069,2.22237,2016-12-26 21:15:00,0.04529934308337155,0.14834885592263589,0.8063517856870559,w
3162,true,a,87,Liverpool,LIV,88,Manchester City,MCI,1,0,0.256825,0.352445,2016-12-31 21:30:00,0.16622003650824327,0.5940909299939706,0.23968903349778622,l
3332,true,h,88,Manchester City,MCI,92,Burnley,BUR,2,1,0.617412,0.642111,2017-01-02 15:00:00,0.28831137897099746,0.4079511800885385,0.30373744094046345,w
3348,true,a,72,Everton,EVE,88,Manchester City,MCI,4,0,0.572528,0.569286,2017-01-15 17:30:00,0.28500592294520144,0.4320815066595876,0.2829125703952109,l
3356,true,h,88,Manchester City,MCI,82,Tottenham,TOT,2,2,2.52702,1.12391,2017-01-21 20:30:00,0.6781888177461297,0.17190131077595933,0.14990979223421777,d
3367,true,a,81,West Ham,WHU,88,Manchester City,MCI,0,4,0.49472,2.66472,2017-02-01 22:45:00,0.047460479558069514,0.11978966520047904,0.8327497006641047,w
3378,true,h,88,Manchester City,MCI,84,Swansea,SWA,2,1,2.87972,0.11445,2017-02-05 13:30:00,0.9248968974342896,0.06799392150480876,0.007108775443398852,w
3389,true,a,73,Bournemouth,BOU,88,Manchester City,MCI,0,2,0.152385,2.953,2017-02-13 20:00:00,0.009117325412766504,0.06735517261831445,0.9235269494465044,w
3404,true,a,77,Sunderland,SUN,88,Manchester City,MCI,0,2,0.737758,2.48022,2017-03-05 16:00:00,0.09041176621674173,0.15445815926524206,0.7551300119957608,w
3418,true,h,88,Manchester City,MCI,85,Stoke,STO,0,0,1.3049,0.337194,2017-03-08 20:00:00,0.6164764537953357,0.288587873781525,0.09493567241091577,d
3426,true,h,88,Manchester City,MCI,87,Liverpool,LIV,1,1,2.55464,1.94116,2017-03-19 16:30:00,0.5172089863812278,0.18724036513945366,0.2955505549495178,d
3430,true,a,83,Arsenal,ARS,88,Manchester City,MCI,2,2,0.738497,1.40021,2017-04-02 16:00:00,0.1974247075645225,0.27497921744991505,0.5275960749533599,d
