Date,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
2018-08-12,Matchweek 1,Sun,Away,W,2,0,Arsenal,1.8,0.6,57
2018-08-19,Matchweek 2,Sun,Home,W,6,1,Huddersfield,3.4,0.6,77
2018-08-25,Matchweek 3,Sat,Away,D,1,1,Wolves,1.5,1.1,71
2018-09-01,Matchweek 4,Sat,Home,W,2,1,Newcastle Utd,2.6,0.7,78
2018-09-15,Matchweek 5,Sat,Home,W,3,0,Fulham,4.1,0.3,64
2018-09-22,Matchweek 6,Sat,Away,W,5,0,Cardiff City,2.5,0.1,78
2018-09-29,Matchweek 7,Sat,Home,W,2,0,Brighton,3,0.5,79
2018-10-07,Matchweek 8,Sun,Away,D,0,0,Liverpool,1.2,0.4,51
2018-10-20,Matchweek 9,Sat,Home,W,5,0,Burnley,4.1,0.4,69
2018-10-29,Matchweek 10,Mon,Away,W,1,0,Tottenham,1.5,0.7,51
2018-11-04,Matchweek 11,Sun,Home,W,6,1,Southampton,2.4,1.8,67
2018-11-11,Matchweek 12,Sun,Home,W,3,1,Manchester Utd,1.6,0.9,64
2018-11-24,Matchweek 13,Sat,Away,W,4,0,West Ham,2.3,0.8,69
2018-12-01,Matchweek 14,Sat,Home,W,3,1,Bournemouth,2.5,0.4,71
2018-12-04,Matchweek 15,Tue,Away,W,2,1,Watford,2.2,1.4,69
2018-12-08,Matchweek 16,Sat,Away,L,0,2,Chelsea,1.4,0.9,61
2018-12-15,Matchweek 17,Sat,Home,W,3,1,Everton,1.4,1.1,66
2018-12-22,Matchweek 18,Sat,Home,L,2,3,Crystal Palace,1.4,0.9,77
2018-12-26,Matchweek 19,Wed,Away,L,1,2,Leicester City,1.3,1.3,65
2018-12-30,Matchweek 20,Sun,Away,W,3,1,Southampton,3.1,0.4,76
2019-01-03,Matchweek 21,Thu,Home,W,2,1,Liverpool,0.8,1.8,50
2019-01-14,Matchweek 22,Mon,Home,W,3,0,Wolves,3,0,75
2019-01-20,Matchweek 23,Sun,Away,W,3,0,Huddersfield,2.3,0.5,66
2019-01-29,Matchweek 24,Tue,Away,L,1,2,Newcastle Utd,1.3,1.2,76
2019-02-03,Matchweek 25,Sun,Home,W,3,1,Arsenal,3.2,0.8,59
2019-02-06,Matchweek 27,Wed,Away,W,2,0,Everton,2.4,0.1,61
2019-02-10,Matchweek 26,Sun,Home,W,6,0,Chelsea,3.1,0.9,56
2019-02-27,Matchweek 28,Wed,Home,W,1,0,West Ham,3,0.5,75
2019-03-02,Matchweek 29,Sat,Away,W,1,0,Bournemouth,1.6,0,80
2019-03-09,Matchweek 30,Sat,Home,W,3,1,Watford,3.2,0.5,71
2019-03-30,Matchweek 32,Sat,Away,W,2,0,Fulham,2.7,0.3,65
2019-04-03,Matchweek 33,Wed,Home,W,2,0,Cardiff City,2.9,0.1,79
2019-04-14,Matchweek 34,Sun,Away,W,3,1,Crystal Palace,2,0.3,73
2019-04-20,Matchweek 35,Sat,Home,W,1,0,Tottenham,1.9,1.3,61
2019-04-24,Matchweek 31,Wed,Away,W,2,0,Manchester Utd,0.5,0.7,63
2019-04-28,Matchweek 36,Sun,Away,W,1,0,Burnley,2.4,0.1,67
2019-05-06,Matchweek 37,Mon,Home,W,1,0,Leicester City,1.3,0.6,60
